Unnamed: 0,source,target,operation_type,actual_rows,actual_total_time,plan_rows,plan_width,total_cost,actual_startup_time,actual_loops,shared_read_blocks,shared_hit_blocks,shared_dirtied_blocks,shared_written_blocks,local_hit_blocks,local_dirtied_blocks,local_read_blocks,local_written_blocks,temp_written_blocks,temp_read_blocks,label,label_metadata,actual_duration,estimated_cost,actual_startup_duration,redundent_operation,actual_duration_pct,estimated_cost_pct,actual_plan_rows_ratio
0,6,7,Nested Loop,0,618.702,1,10,935487.12,618.702,1,122286,1207,0,0,0,0,0,0,0,0,Titles* ⋈ JOIN,"Join Filter ('Inner', '(crew.title_id = titles.title_id)')",4.046000000000049,163732.41000000003,-771136.0079999999,False,0.6539497205439855,17.50236924694378,True
1,5,6,Where,0,614.656,512,10,160664.09,614.656,3,122286,1207,0,0,0,0,0,0,0,0,Titles*,Filter condition: (titles.genres = 'comedy'::text),0.0,0.0,-160049.434,False,0.0,0.0,True
2,4,5,Seq Scan,2379234,614.656,512,10,160664.09,614.656,3,122286,1207,0,0,0,0,0,0,0,0,Titles,,614.656,160664.09,614.656,False,100.0,100.0,True
3,3,6,Hash Join,1695,0.0,21,10,771754.71,0.0,0,0,0,0,0,0,0,0,0,0,0,Crew ⋈ People*,"Hash Cond ('Inner', '(crew.person_id = people.person_id)')",0.0,205252.15999999992,-566502.55,False,,26.59551763538961,True
4,2,3,Seq Scan,40955703,0.0,17064255,20,566502.55,0.0,0,0,0,0,0,0,0,0,0,0,0,Crew,,0.0,566502.55,0.0,False,,100.0,False
5,1,3,Where,9,0.0,5,10,141261.06,0.0,0,0,0,0,0,0,0,0,0,0,0,People*,"Filter condition: (people.name = ANY ('{""Owen Wilson"",""Adam Sandler"",""Jason Segel""}'::text[]))",0.0,0.0,-141261.06,False,,0.0,False
6,0,1,Seq Scan,10338782,0.0,5,10,141261.06,0.0,0,0,0,0,0,0,0,0,0,0,0,People,,0.0,141261.06,0.0,False,,100.0,True
